City,Page,Rows,Note
Vancouver,1,34,
Vancouver,2,35,
Vancouver,3,35,
Vancouver,4,35,
Vancouver,5,35,
Vancouver,6,35,
Vancouver,7,35,
Vancouver,8,35,
Vancouver,9,34,
Vancouver,10,35,
Vancouver,11,21,
Vancouver,12,0,
Burnaby,1,34,
Burnaby,2,35,
Burnaby,3,35,
Burnaby,4,35,
Burnaby,5,33,
Burnaby,6,20,
Burnaby,7,0,
Richmond,1,35,
Richmond,2,33,
Richmond,3,0,
Coquitlam,1,34,
Coquitlam,2,35,
Coquitlam,3,35,
Coquitlam,4,35,
Coquitlam,5,8,
Coquitlam,6,0,
Surrey,1,34,
Surrey,2,35,
Surrey,3,35,
Surrey,4,35,
Surrey,5,35,
Surrey,6,35,
Surrey,7,35,
Surrey,8,35,
Surrey,9,35,
Surrey,10,35,
Surrey,11,35,
Surrey,12,35,
Surrey,13,2,
Surrey,14,0,
Abbotsford,1,34,
Abbotsford,2,35,
Abbotsford,3,35,
Abbotsford,4,27,
Abbotsford,5,0,
Maple Ridge,1,34,
Maple Ridge,2,35,
Maple Ridge,3,35,
Maple Ridge,4,35,
Maple Ridge,5,14,
Maple Ridge,6,0,
Langley,1,34,
Langley,2,35,
Langley,3,35,
Langley,4,35,
Langley,5,35,
Langley,6,35,
Langley,7,35,
Langley,8,35,
Langley,9,35,
Langley,10,35,
Langley,11,35,
Langley,12,35,
Langley,13,2,
Langley,14,0,
White Rock,1,34,
White Rock,2,35,
White Rock,3,35,
White Rock,4,35,
White Rock,5,35,
White Rock,6,35,
White Rock,7,35,
White Rock,8,35,
White Rock,9,35,
White Rock,10,35,
White Rock,11,35,
White Rock,12,35,
White Rock,13,2,
White Rock,14,0,
Chilliwack,1,34,
Chilliwack,2,27,
Chilliwack,3,0,
Port Coquitlam,1,34,
Port Coquitlam,2,35,
Port Coquitlam,3,35,
Port Coquitlam,4,35,
Port Coquitlam,5,8,
Port Coquitlam,6,0,
Kelowna,1,35,
Kelowna,2,35,
Kelowna,3,35,
Kelowna,4,35,
Kelowna,5,22,
Kelowna,6,0,
West Vancouver,1,35,
West Vancouver,2,35,
West Vancouver,3,9,
West Vancouver,4,0,
North Vancouver,1,35,
North Vancouver,2,35,
North Vancouver,3,9,
North Vancouver,4,0,
Whistler,1,32,
Whistler,2,0,
Delta,1,34,
Delta,2,35,
Delta,3,35,
Delta,4,35,
Delta,5,35,
Delta,6,35,
Delta,7,35,
Delta,8,35,
Delta,9,35,
Delta,10,35,
Delta,11,35,
Delta,12,35,
Delta,13,35,
Delta,14,30,
Delta,15,0,
New Westminster,1,34,
New Westminster,2,35,
New Westminster,3,35,
New Westminster,4,35,
New Westminster,5,33,
New Westminster,6,20,
New Westminster,7,0,
Port Moody,1,35,
Port Moody,2,34,
Port Moody,3,35,
Port Moody,4,35,
Port Moody,5,34,
Port Moody,6,35,
Port Moody,7,35,
Port Moody,8,35,
Port Moody,9,0,
Pitt Meadows,1,34,
Pitt Meadows,2,35,
Pitt Meadows,3,35,
Pitt Meadows,4,35,
Pitt Meadows,5,8,
Pitt Meadows,6,0,
Mission,1,34,
Mission,2,35,
Mission,3,35,
Mission,4,27,
Mission,5,0,
Squamish,1,32,
Squamish,2,0,
Pemberton,1,33,
Pemberton,2,0,
Hope,1,35,
Hope,2,29,
Hope,3,0,
West Kelowna,1,35,
West Kelowna,2,35,
West Kelowna,3,35,
West Kelowna,4,35,
West Kelowna,5,33,
West Kelowna,6,0,
Lake Country,1,0,error: 404 Client Error: Not Found for url: https://www.yellowpages.ca/search/si/1/Roofers/Lake+Country+BC
Vernon,1,35,
Vernon,2,34,
Vernon,3,0,
Penticton,1,34,
Penticton,2,0,"error: HTTPSConnectionPool(host='www.yellowpages.ca', port=443): Max retries exceeded with url: /search/si/2/Roofers/Penticton+BC (Caused by SSLError(SSLWantReadError(2, 'The operation did not complete (read) (_ssl.c:2590)')))"
